Source,Unit,Year,Invdate.fuels,Invdate.trees,Timestep,PlotID,InvID.fuels,count.ha_Live_ABCO,count.ha_Live_CADE,count.ha_Live_LIDE,count.ha_Live_OTHER,count.ha_Live_PILA,count.ha_Live_PIPO,count.ha_Live_PSME,count.ha_Live_QUKE,count.ha_Live_(all),count.ha_Snag_ABCO,count.ha_Snag_CADE,count.ha_Snag_LIDE,count.ha_Snag_OTHER,count.ha_Snag_PILA,count.ha_Snag_PIPO,count.ha_Snag_PSME,count.ha_Snag_QUKE,count.ha_Snag_(all),count.ha_(all)_(all),BA.mha.sum_Live_ABCO,BA.mha.sum_Live_CADE,BA.mha.sum_Live_LIDE,BA.mha.sum_Live_OTHER,BA.mha.sum_Live_PILA,BA.mha.sum_Live_PIPO,BA.mha.sum_Live_PSME,BA.mha.sum_Live_QUKE,BA.mha.sum_Live_(all),BA.mha.sum_Snag_ABCO,BA.mha.sum_Snag_CADE,BA.mha.sum_Snag_LIDE,BA.mha.sum_Snag_OTHER,BA.mha.sum_Snag_PILA,BA.mha.sum_Snag_PIPO,BA.mha.sum_Snag_PSME,BA.mha.sum_Snag_QUKE,BA.mha.sum_Snag_(all),BA.mha.sum_(all)_(all),pBA_Live_ABCO,pBA_Live_CADE,pBA_Live_LIDE,pBA_Live_OTHER,pBA_Live_PILA,pBA_Live_PIPO,pBA_Live_PSME,pBA_Live_QUKE,pBA_Live_(all),pBA_Snag_ABCO,pBA_Snag_CADE,pBA_Snag_LIDE,pBA_Snag_OTHER,pBA_Snag_PILA,pBA_Snag_PIPO,pBA_Snag_PSME,pBA_Snag_QUKE,pBA_Snag_(all),pBA_(all)_(all),pBA_ABCO_(all),pBA_CADE_(all),pBA_LIDE_(all),pBA_OTHER_(all),pBA_PILA_(all),pBA_PIPO_(all),pBA_PSME_(all),pBA_QUKE_(all),fuelload_litter_tonha,fuelload_duff_tonha,fuelload_litterduff_tonha,fuelload_1h_tonha,fuelload_10h_tonha,fuelload_100h_tonha,fuelload_1000s_tonha,fuelload_1000r_tonha,fuelload_1000h_tonha,fuelload_1.100h_tonha,fuelload_1.1000h_tonha,fuelload_total_tonha,fuelload_surface_tonha,Treatment,disturbance
FFS,40,2001,7/11/01,6/1/01,Pretreatment,0040-00002,200107402,172.9676303,74.12898443,0,0,0,0,98.83864591,0,345.9352607,0,0,0,0,0,0,24.70966148,0,24.70966148,370.6449222,19.86444095,15.60537827,0,0,0,0,13.47707928,0,48.9468985,0,0,0,0,0,0,2.390952289,0,2.390952289,51.33785079,0.386935578,0.303974125,0,0,0,0,0.262517403,0,0.953427106,0,0,0,0,0,0,0.046572894,0,0.046572894,1,0.386935578,0.303974125,0,0,0,0,0.309090297,0,26.53018392,41.36591163,79.50324937,1.016086443,2.779214165,1.717628525,0,11.2862145,11.2862145,5.512929133,16.79914363,84.69523919,43.32932756,Control,None
FFS,40,2003,6/16/03,6/1/03,Post_1,0040-00002,200306402,172.9676303,74.12898443,0,0,0,0,98.83864591,0,345.9352607,0,0,0,0,0,0,24.70966148,0,24.70966148,370.6449222,21.23365757,16.14859745,0,0,0,0,14.46605606,0,51.84831108,0,0,0,0,0,0,2.390952289,0,2.390952289,54.23926337,0.391481304,0.297728923,0,0,0,0,0.266708196,0,0.955918423,0,0,0,0,0,0,0.044081577,0,0.044081577,1,0.391481304,0.297728923,0,0,0,0,0.310789773,0,21.18959677,18.78620345,49.18232455,1.559477976,5.815190067,1.711304453,0,8.649903781,8.649903781,9.085972496,17.73587628,57.7116765,38.92547305,Control,None
FFS,40,2009,6/1/09,6/1/09,Post_7,0040-00002,200906402,123.5483074,74.12898443,0,0,0,0,148.2579689,0,345.9352607,0,0,0,0,0,0,24.70966148,0,24.70966148,370.6449222,15.10235084,17.79086947,0,0,0,0,22.30068899,0,55.1939093,0,0,0,0,0,0,2.243440269,0,2.243440269,57.43734957,0.262936068,0.309743914,0,0,0,0,0.388261108,0,0.96094109,0,0,0,0,0,0,0.03905891,0,0.03905891,1,0.262936068,0.309743914,0,0,0,0,0.427320018,0,5.202603006,55.55974166,62.99047379,1.461918023,5.417734766,1.768567186,0,0,0,8.648219975,8.648219975,69.41056464,13.85082298,Control,None
BFRS,40,2016,7/13/16,7/13/16,Post_14,0040-00002,7125,123.5483074,74.12898443,0,0,0,0,123.5483074,0,321.2255992,49.41932296,0,0,0,0,0,24.70966148,0,74.12898443,395.3545836,14.98336645,18.81603822,0,0,0,0,19.44256755,0,53.24197222,8.340828301,0,0,0,0,0,2.489214577,0,10.83004288,64.0720151,0.233851962,0.293670149,0,0,0,0,0.303448667,0,0.830970778,0.13017896,0,0,0,0,0,0.038850262,0,0.169029222,1,0.364030922,0.293670149,0,0,0,0,0.342298929,0,41.44487195,42.74787786,102.2029268,0.346392688,6.355086652,0,0,0,0,6.70147934,6.70147934,90.89422915,48.14635129,Control,None
FFS,40,2001,7/11/01,6/1/01,Pretreatment,0040-00003,200107403,98.83864591,98.83864591,0,0,24.70966148,24.70966148,123.5483074,0,370.6449222,0,0,0,0,0,0,0,0,0,370.6449222,13.49378864,9.871292439,0,0,10.88730307,13.30507572,8.861880167,0,56.41934003,0,0,0,0,0,0,0,0,0,56.41934003,0.239169558,0.174962919,0,0,0.192971117,0.235824732,0.157071674,0,1,0,0,0,0,0,0,0,0,0,1,0.239169558,0.174962919,0,0,0.192971117,0.235824732,0.157071674,0,22.01524479,18.29142213,59.10624656,0.215513037,0,1.730367667,0,13.80398091,13.80398091,1.945880703,15.74986161,56.05652853,37.7651064,Control,None
FFS,40,2003,6/16/03,6/1/03,Post_1,0040-00003,200306403,98.83864591,98.83864591,0,0,24.70966148,24.70966148,123.5483074,0,370.6449222,0,0,0,0,0,0,0,0,0,370.6449222,13.91179435,9.975255324,0,0,11.03314609,13.56342068,8.991984177,0,57.47560062,0,0,0,0,0,0,0,0,0,57.47560062,0.242046959,0.173556348,0,0,0.191962258,0.235985714,0.156448721,0,1,0,0,0,0,0,0,0,0,0,1,0.242046959,0.173556348,0,0,0.191962258,0.235985714,0.156448721,0,12.84968099,54.87454923,76.51106025,0.670169608,0,3.457814342,0,30.32126547,30.32126547,4.12798395,34.44924942,102.1734796,47.29893041,Control,None
FFS,40,2009,6/1/09,6/1/09,Post_7,0040-00003,200906403,172.9676303,98.83864591,0,0,24.70966148,24.70966148,74.12898443,0,395.3545836,0,0,0,0,0,0,0,0,0,395.3545836,18.25382161,10.78332077,0,0,12.98563777,14.99458419,8.574288978,0,65.59165333,0,0,0,0,0,0,0,0,0,65.59165333,0.278294885,0.164400808,0,0,0.197976985,0.228605065,0.130722257,0,1,0,0,0,0,0,0,0,0,0,1,0.278294885,0.164400808,0,0,0.197976985,0.228605065,0.130722257,0,12.9186591,66.0206618,87.34953166,0.934948104,0.995215456,1.74119211,0,18.73765123,18.73765123,3.671355671,22.4090069,101.3483278,35.327666,Control,None
BFRS,40,2016,7/13/16,7/13/16,Post_14,0040-00003,7050,98.83864591,98.83864591,0,0,24.70966148,24.70966148,148.2579689,0,395.3545836,0,0,0,0,0,0,0,0,0,395.3545836,19.43367795,11.97454821,0,0,16.31693239,16.68052975,3.469199612,0,67.87488791,0,0,0,0,0,0,0,0,0,67.87488791,0.28631617,0.176420891,0,0,0.240397191,0.245754067,0.051111681,0,1,0,0,0,0,0,0,0,0,0,1,0.28631617,0.176420891,0,0,0.240397191,0.245754067,0.051111681,0,37.01210562,150.1333981,214.9366975,0.149110964,1.629929394,0,0,0,0,1.779040358,1.779040358,188.9245441,38.79114598,Control,None
FFS,40,2001,7/11/01,6/1/01,Pretreatment,0040-00005,200107405,222.3869533,197.6772918,0,0,0,24.70966148,123.5483074,0,568.322214,0,123.5483074,0,0,0,0,0,0,123.5483074,691.8705214,21.52072477,22.56681612,0,0,0,12.89056326,8.000173983,0,64.97827813,0,6.209536035,0,0,0,0,0,0,6.209536035,71.18781417,0.30230911,0.31700392,0,0,0,0.181078228,0.112381228,0,0.912772486,0,0.087227514,0,0,0,0,0,0,0.087227514,1,0.30230911,0.404231433,0,0,0,0.181078228,0.112381228,0,31.85971252,126.8928702,174.4175298,0.255416497,1.266024897,3.807945812,0,14.79916964,14.79916964,5.329387206,20.12855684,178.8811396,51.98826937,Control,None
FFS,40,2003,6/12/03,6/1/03,Post_1,0040-00005,200306405,197.6772918,197.6772918,0,0,0,24.70966148,123.5483074,0,543.6125525,24.70966148,123.5483074,0,0,0,0,0,0,148.2579689,691.8705214,21.78005948,23.21392056,0,0,0,13.24087762,8.425806613,0,66.66066427,0.61488894,6.209536035,0,0,0,0,0,0,6.824424976,73.48508924,0.296387467,0.31589974,0,0,0,0.180184548,0.114660085,0,0.907131841,0.008367533,0.084500626,0,0,0,0,0,0,0.092868159,1,0.304755001,0.400400366,0,0,0,0.180184548,0.114660085,0,48.98504331,76.85720464,151.5993428,0.169918407,5.066284344,15.1996895,0,21.98356046,21.98356046,20.43589225,42.41945271,168.2617007,91.40449602,Control,None
